iter	Passed	Remaining
745	15117	5147
746	15149	5131
747	15179	5113
748	15207	5096
749	15247	5082
750	15287	5068
751	15324	5053
752	15351	5035
753	15376	5016
754	15390	4994
755	15420	4976
756	15449	4959
757	15480	4942
758	15512	4925
759	15550	4910
760	15581	4893
761	15609	4875
762	15626	4853
763	15642	4831
764	15656	4809
765	15671	4787
766	15683	4764
767	15699	4742
768	15713	4720
769	15729	4698
770	15746	4676
771	15760	4654
772	15773	4632
773	15790	4610
774	15804	4588
775	15822	4567
776	15840	4546
777	15855	4524
778	15868	4501
779	15882	4479
780	15894	4457
781	15911	4435
782	15927	4414
783	15942	4392
784	15956	4370
785	15970	4348
786	15984	4326
787	16011	4307
788	16031	4287
789	16046	4265
790	16062	4243
791	16076	4222
792	16092	4200
793	16107	4178
794	16121	4157
795	16138	4135
796	16154	4114
797	16168	4092
798	16182	4071
799	16196	4049
800	16213	4027
801	16228	4006
802	16240	3984
803	16254	3962
804	16267	3940
805	16280	3918
806	16295	3897
807	16308	3875
808	16323	3853
809	16339	3832
810	16355	3811
811	16369	3789
812	16383	3768
813	16397	3746
814	16409	3724
815	16425	3703
816	16441	3682
817	16457	3661
818	16493	3645
819	16524	3627
820	16555	3609
821	16595	3593
822	16629	3576
823	16667	3560
824	16732	3549
825	16786	3536
826	16830	3520
827	16857	3501
828	16886	3483
829	16910	3463
830	16944	3446
831	16991	3431
832	17025	3413
833	17044	3392
834	17077	3374
835	17100	3354
836	17112	3332
837	17128	3311
838	17142	3289
839	17159	3268
840	17174	3246
841	17188	3225
842	17202	3203
843	17215	3182
844	17231	3160
845	17245	3139
846	17259	3117
847	17275	3096
848	17288	3074
849	17302	3053
850	17317	3032
851	17331	3010
852	17345	2989
853	17361	2968
854	17373	2946
855	17388	2925
856	17401	2903
857	17417	2882
858	17431	2861
859	17445	2839
860	17461	2818
861	17475	2797
862	17489	2776
863	17505	2755
864	17518	2734
865	17533	2712
866	17545	2691
867	17561	2670
868	17576	2649
869	17590	2628
870	17606	2607
871	17623	2586
872	17657	2568
873	17688	2550
874	17721	2531
875	17750	2512
876	17771	2492
877	17786	2471
878	17799	2450
879	17812	2428
880	17828	2408
881	17842	2387
882	17862	2366
883	17877	2345
884	17892	2325
885	17907	2304
886	17922	2283
887	17936	2262
888	17951	2241
889	17967	2220
890	17981	2199
891	17994	2178
892	18008	2157
893	18022	2136
894	18055	2118
895	18091	2099
896	18138	2082
897	18179	2064
898	18217	2046
899	18245	2027
900	18272	2007
901	18306	1988
902	18351	1971
903	18382	1952
904	18413	1932
905	18451	1914
906	18481	1895
907	18501	1874
908	18520	1854
909	18545	1834
910	18565	1813
911	18616	1796
912	18643	1776
913	18673	1757
914	18715	1738
915	18742	1718
916	18771	1699
917	18809	1680
918	18844	1660
919	18892	1642
920	18915	1622
921	18940	1602
922	18954	1581
923	18969	1560
924	18983	1539
925	18998	1518
926	19014	1497
927	19028	1476
928	19041	1455
929	19055	1434
930	19070	1413
931	19084	1392
932	19100	1371
933	19112	1350
934	19126	1329
935	19138	1308
936	19152	1287
937	19168	1267
938	19182	1246
939	19196	1225
940	19215	1204
941	19235	1184
942	19248	1163
943	19260	1142
944	19274	1121
945	19288	1101
946	19301	1080
947	19315	1059
948	19330	1038
949	19345	1018
950	19359	997
951	19373	976
952	19387	956
953	19401	935
954	19413	914
955	19429	894
956	19441	873
957	19453	852
958	19467	832
959	19481	811
960	19497	791
961	19513	770
962	19525	750
963	19540	729
964	19552	709
965	19566	688
966	19578	668
967	19594	647
968	19608	627
969	19623	606
970	19635	586
971	19649	566
972	19663	545
973	19677	525
974	19692	504
975	19705	484
976	19720	464
977	19734	443
978	19747	423
979	19762	403
980	19777	383
981	19789	362
982	19802	342
983	19819	322
984	19841	302
985	19855	281
986	19869	261
987	19882	241
988	19906	221
989	19919	201
990	19935	181
991	19951	160
992	19965	140
993	19980	120
994	19994	100
995	20006	80
996	20020	60
997	20034	40
998	20049	20
999	20063	0
